"age","year","comp"
1,1982,0
1,1983,0
1,1984,0
1,1985,0
1,1986,0
1,1987,0
1,1988,0
1,1989,0
1,1990,0
1,1991,0
1,1992,0
1,1993,8.09323405632891e-05
1,1994,2.10810355004638e-05
1,1995,0
1,1996,0
1,1997,0
1,1998,0
1,1999,0
1,2000,0
1,2001,0
1,2002,0
1,2003,0
1,2004,0
1,2005,0
1,2006,0
1,2007,0
1,2008,0
1,2009,0.000243526536729081
1,2010,0
1,2011,0
1,2012,NA
1,2013,NA
1,2014,NA
1,2015,0.0020021528525296
1,2016,NA
2,1982,0.00997647709976477
2,1983,0
2,1984,0.00572843872709813
2,1985,0.014533573247745
2,1986,0.000304058419757716
2,1987,0.00122765417150161
2,1988,0.0219902714561167
2,1989,0.00389669580240197
2,1990,0.00216837775287364
2,1991,0.0475047020914044
2,1992,0.0807014771079713
2,1993,0.0929637728519335
2,1994,0.347520870225145
2,1995,0.317012136630938
2,1996,0.157685959488163
2,1997,0.47895445435853
2,1998,0.284253960216838
2,1999,0.246247246361728
2,2000,0.46046221251073
2,2001,0.483285480337736
2,2002,0.504451460302314
2,2003,0.578396191519309
2,2004,0.456089205520246
2,2005,0.302440225212715
2,2006,0.454746304816121
2,2007,0.363281914811319
2,2008,0.308061802311181
2,2009,0.499489956659088
2,2010,0.280392298175441
2,2011,0.345354019025729
2,2012,0.432529769339662
2,2013,0.243560579949909
2,2014,0.0470034138323429
2,2015,0.153928955866523
2,2016,0.135367298578199
3,1982,0.849674830496748
3,1983,0.434637190305349
3,1984,0.334949656293676
3,1985,0.57213037062153
3,1986,0.610485961369378
3,1987,0.107541664564519
3,1988,0.593054780573926
3,1989,0.696662633956375
3,1990,0.347022022989098
3,1991,0.480708477911855
3,1992,0.772471506927522
3,1993,0.793487644329341
3,1994,0.495847036006409
3,1995,0.587938441005964
3,1996,0.762673245922566
3,1997,0.268267117177869
3,1998,0.637438900622042
3,1999,0.669296282805155
3,2000,0.392540608033534
3,2001,0.441191858610349
3,2002,0.440252976945801
3,2003,0.310577565127998
3,2004,0.479547854353671
3,2005,0.591639945800826
3,2006,0.380605431338501
3,2007,0.472142713474541
3,2008,0.622443907313615
3,2009,0.467465365587827
3,2010,0.677507116860654
3,2011,0.553061354785162
3,2012,0.494275126988092
3,2013,0.722019255072264
3,2014,0.790807940321153
3,2015,0.801442411194833
3,2016,0.758886255924171
4,1982,0.0830358378303584
4,1983,0.551730697087061
4,1984,0.627580174372724
4,1985,0.294786485163965
4,1986,0.358206156676236
4,1987,0.824777592788793
4,1988,0.206861839170163
4,1989,0.271179484242602
4,1990,0.639431842090574
4,1991,0.40409438793233
4,1992,0.136158745159766
4,1993,0.111753310081828
4,1994,0.135340247912977
4,1995,0.0894190265671268
4,1996,0.0782373267540774
4,1997,0.219139154487011
4,1998,0.07067207650164
4,1999,0.0769457598307055
4,2000,0.139315934402836
4,2001,0.0688360024670878
4,2002,0.0518237282629661
4,2003,0.102749234989215
4,2004,0.0615508507215423
4,2005,0.10257866875384
4,2006,0.148342910677097
4,2007,0.16013491560039
4,2008,0.0683754259798604
4,2009,0.0321812654864996
4,2010,0.0421005849639052
4,2011,0.0991712954095639
4,2012,0.0698226330252311
4,2013,0.0341444360193929
4,2014,0.162188645846504
4,2015,0.0423896663078579
4,2016,0.105173775671406
5,1982,0.0445136294451363
5,1983,0.0136321126075907
5,1984,0.0307671829392358
5,1985,0.115000943988718
5,1986,0.0236202715748452
5,1987,0.0630560180280174
5,1988,0.168405238212053
5,1989,0.0128700727558206
5,1990,0.0113777571674546
5,1991,0.0673362225879755
5,1992,0.0105198987844784
5,1993,0.00166293054478154
5,1994,0.0210810355004638
5,1995,0.00354506401968553
5,1996,0.00118385428641038
5,1997,0.033364802865857
5,1998,0.00745517898425685
5,1999,0.00751071100241106
5,2000,0.00745270292868371
5,2001,0.00668665858482741
5,2002,0.00347183448891957
5,2003,0.0082770083634774
5,2004,0.00281208940454099
5,2005,0.00334116023261881
5,2006,0.0159145020676322
5,2007,0.00444045611374994
5,2008,0.00111886439534347
5,2009,0.000619885729855842
5,2010,0
5,2011,0.00241333077954415
5,2012,0.00337247064701474
5,2013,0.000275728958433859
5,2014,NA
5,2015,0.000236813778256189
5,2016,0.000572669826224328
6,1982,0.0127992251279923
6,1983,0
6,1984,0.000974547667265657
6,1985,0.00354862697804167
6,1986,0.00738355195978321
6,1987,0.00339707044716883
6,1988,0.00968787058774183
6,1989,0.0153911132428002
6,1990,0
6,1991,0.000356209476435227
6,1992,0.000148372020262457
6,1993,5.14098515527811e-05
6,1994,0.000189729319504174
6,1995,0.00208533177628561
6,1996,0.000219613548783375
6,1997,0.00027447111073253
6,1998,0.000179883675223356
6,1999,0
6,2000,0.000228542124215432
6,2001,0
6,2002,0
6,2003,0
6,2004,0
6,2005,0
6,2006,0.000390851100648634
6,2007,0
6,2008,0
6,2009,0
6,2010,0
6,2011,0
6,2012,NA
6,2013,NA
6,2014,NA
6,2015,NA
6,2016,NA
